diffFluxU_axial,id,u,x,y,z
-1.6470635454238e-13,0,3.6e-07,0,7.5,0
-1.6470635454238e-13,7.8947368421053,3.6487935264842e-07,7.8947368421053,7.5,0
-1.6470635454238e-13,15.789473684211,3.6975870529683e-07,15.789473684211,7.5,0
-1.6470635454238e-13,23.684210526316,3.7463805794525e-07,23.684210526316,7.5,0
-1.6470635454238e-13,31.578947368421,3.7951741059367e-07,31.578947368421,7.5,0
-1.6470635454238e-13,39.473684210526,3.8439676324209e-07,39.473684210526,7.5,0
-1.6470635454238e-13,47.368421052632,3.892761158905e-07,47.368421052632,7.5,0
-1.6470635454238e-13,55.263157894737,3.9415546853892e-07,55.263157894737,7.5,0
-1.6470635454238e-13,63.157894736842,3.9903482118734e-07,63.157894736842,7.5,0
-1.6470635454238e-13,71.052631578947,4.0391417383575e-07,71.052631578947,7.5,0
-1.8944267064176e-13,78.947368421053,4.0915992767679e-07,78.947368421053,7.5,0
-1.8944267064176e-13,86.842105263158,4.1477208271044e-07,86.842105263158,7.5,0
-1.8944267064176e-13,94.736842105263,4.2038423774409e-07,94.736842105263,7.5,0
-1.8944267064176e-13,102.63157894737,4.2599639277773e-07,102.63157894737,7.5,0
-1.8944267064176e-13,110.52631578947,4.3160854781138e-07,110.52631578947,7.5,0
-1.8944267064176e-13,118.42105263158,4.3722070284503e-07,118.42105263158,7.5,0
-1.8944267064176e-13,126.31578947368,4.4283285787868e-07,126.31578947368,7.5,0
-1.8944267064176e-13,134.21052631579,4.4844501291233e-07,134.21052631579,7.5,0
-1.8944267064176e-13,142.10526315789,4.5405716794598e-07,142.10526315789,7.5,0
-1.8944267064176e-13,150,4.5966932297963e-07,150,7.5,0
