x,u,u2
0,0.0459,0
0.0022,0.0459,0.0001
0.0043,0.0459,0.0001
0.0065,0.0459,0.0002
0.0086,0.0459,0.0002
0.0194,0.0459,0.0005
0.0301,0.0459,0.0007
0.0409,0.0459,0.001
0.0516,0.0459,0.0012
0.1054,0.0459,0.0025
0.1591,0.0459,0.0037
0.2129,0.0459,0.005
0.2667,0.0459,0.0062
0.4167,0.0459,0.0097
0.5667,0.0459,0.0132
0.7167,0.0459,0.0167
0.8667,0.0459,0.0202
1.0167,0.0459,0.0237
1.1667,0.0458,0.0272
1.3167,0.0458,0.0307
1.4667,0.0458,0.0342
1.6167,0.0458,0.0377
1.7667,0.0458,0.0412
1.9167,0.0458,0.0447
2.0667,0.0458,0.0482
2.2167,0.0458,0.0517
2.3667,0.0458,0.0552
2.5167,0.0458,0.0587
2.6667,0.0458,0.0622
2.8167,0.0458,0.0657
2.9667,0.0458,0.0692
3.1167,0.0458,0.0727
3.2667,0.0457,0.0762
3.4167,0.0457,0.0797
3.5667,0.0457,0.0832
3.7167,0.0457,0.0866
3.8667,0.0457,0.0901
4.0167,0.0457,0.0936
4.1667,0.0457,0.0971
4.3167,0.0457,0.1006
4.4667,0.0457,0.1041
4.6167,0.0457,0.1076
4.7667,0.0457,0.1111
4.9167,0.0457,0.1145
5.0667,0.0457,0.118
5.2167,0.0457,0.1215
5.3667,0.0456,0.125
5.5167,0.0456,0.1285
5.6667,0.0456,0.132
5.75,0.0456,0.1339
5.8333,0.0456,0.1358
5.9167,0.0456,0.1378
6,0.0456,0.1397
