diffFluxU2_x,diffFluxU_x,id,u,u2,x,y,z
-2.1488926356334e-06,2.340433732291e-09,0,0.0459,0,0,0,0
-2.1488926356334e-06,2.340433732291e-09,0.3,0.045885957397606,0.0070072585944569,0.3,0,0
-2.148166969468e-06,2.3396433840236e-09,0.6,0.045871919537302,0.0140121508862,0.6,0,0
-2.147441548355e-06,2.3388533026511e-09,0.9,0.045857886417486,0.021014677674314,0.9,0,0
-2.1467163722117e-06,2.3380634880824e-09,1.2,0.045843858036558,0.028014839757613,1.2,0,0
-2.1459914409553e-06,2.3372739402289e-09,1.5,0.045829834392916,0.035012637934642,1.5,0,0
-2.1452667545032e-06,2.3364846590032e-09,1.8,0.045815815484962,0.042008073003674,1.8,0,0
-2.1445423127728e-06,2.3356956443094e-09,2.1,0.045801801311096,0.049001145762716,2.1,0,0
-2.1438181156812e-06,2.3349068960613e-09,2.4,0.04578779186972,0.055991857009502,2.4,0,0
-2.143094163146e-06,2.33411841417e-09,2.7,0.045773787159235,0.0629802075415,2.7,0,0
-2.1423704550846e-06,2.3333301985402e-09,3,0.045759787178044,0.069966198155906,3,0,0
-2.1416469914144e-06,2.3325422490852e-09,3.3,0.045745791924549,0.076949829649649,3.3,0,0
-2.1409237720528e-06,2.3317545657189e-09,3.6,0.045731801397155,0.083931102819387,3.6,0,0
-2.1402007969174e-06,2.3309671483437e-09,3.9,0.045717815594265,0.090910018461509,3.9,0,0
-2.1394780659258e-06,2.3301799968783e-09,4.2,0.045703834514284,0.097886577372136,4.2,0,0
-2.1387555789953e-06,2.3293931112244e-09,4.5,0.045689858155616,0.10486078034712,4.5,0,0
-2.1380333360437e-06,2.3286064912989e-09,4.8,0.045675886516669,0.11183262818205,4.8,0,0
-2.1373113369886e-06,2.3278201370089e-09,5.1,0.045661919595846,0.11880212167223,5.1,0,0
-2.1365895817475e-06,2.3270340482656e-09,5.4,0.045647957391557,0.12576926161271,5.4,0,0
-2.1358680702382e-06,2.326248224977e-09,5.7,0.045633999902207,0.13273404879827,5.7,0,0
-2.1351468023783e-06,2.3254626670571e-09,6,0.045620047126205,0.13969648402341,6,0,0
